year,early_spring
2016,True
2024,True
1969,False
1956,False
2010,True
1972,False
1996,False
1962,False
1949,True
1971,False
2014,False
1990,True
2022,True
1998,True
2020,True
2012,True
1994,False
1978,False
1948,False
2006,False
1984,False
1954,False
2007,True
1961,True
1967,True
2018,False
2023,True
2003,True
2015,False
1959,False
2009,True
1985,True
1983,True
1951,False
2005,False
1982,False
1997,True
1980,False
1974,True
2008,False
1975,False
1995,True
1999,False
1989,True
1992,True
1976,True
1993,False
1957,False
2017,True
2011,False
1953,True
2021,True
2013,False
1977,True
2000,True
1950,False
2002,False
1981,False
1987,True
1963,True
1947,False
1973,True
1960,False
1964,False
2004,True
1955,True
1979,False
1986,True
1965,False
1952,True
