year,prediction
1947,False
1948,False
1949,False
1950,True
1951,False
1952,False
1953,False
1954,False
1955,False
1956,False
1957,False
1959,False
1960,False
1961,False
1962,False
1963,False
1964,False
1965,False
1967,False
1969,False
1971,False
1972,False
1973,False
1974,False
1975,True
1976,False
1977,False
1978,False
1979,False
1980,False
1981,False
1982,False
1983,True
1984,False
1985,False
1986,True
1987,False
1989,False
1990,True
1992,False
1993,False
1994,False
1995,True
1996,False
1997,True
1998,False
1999,True
2000,False
2002,False
2003,False
2004,False
2005,False
2006,False
2007,True
2008,False
2009,False
2010,False
2011,True
2012,False
2013,True
2014,False
2015,False
2016,True
2017,False
2018,False
2020,True
2021,False
2022,False
2023,False
2024,True
